cbsacode,statename,fipsstatecode,cbsatitle
41180,Missouri,29,"St. Louis, MO-IL"
27900,Missouri,29,"Joplin, MO"
22220,Missouri,29,"Fayetteville-Springdale-Rogers, AR-MO"
13740,Montana,30,"Billings, MT"
24500,Montana,30,"Great Falls, MT"
33540,Montana,30,"Missoula, MT"
36540,Nebraska,31,"Omaha-Council Bluffs, NE-IA"
43580,Nebraska,31,"Sioux City, IA-NE-SD"
24260,Nebraska,31,"Grand Island, NE"
30700,Nebraska,31,"Lincoln, NE"
29820,Nevada,32,"Las Vegas-Henderson-Paradise, NV"
39900,Nevada,32,"Reno, NV"
16180,Nevada,32,"Carson City, NV"
31700,New Hampshire,33,"Manchester-Nashua, NH"
14460,New Hampshire,33,"Boston-Cambridge-Newton, MA-NH"
12100,New Jersey,34,"Atlantic City-Hammonton, NJ"
35620,New Jersey,34,"New York-Newark-Jersey City, NY-NJ-PA"
37980,New Jersey,34,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
36140,New Jersey,34,"Ocean City, NJ"
47220,New Jersey,34,"Vineland-Bridgeton, NJ"
45940,New Jersey,34,"Trenton, NJ"
10900,New Jersey,34,"Allentown-Bethlehem-Easton, PA-NJ"
10740,New Mexico,35,"Albuquerque, NM"
29740,New Mexico,35,"Las Cruces, NM"
22140,New Mexico,35,"Farmington, NM"
42140,New Mexico,35,"Santa Fe, NM"
10580,New York,36,"Albany-Schenectady-Troy, NY"
35620,New York,36,"New York-Newark-Jersey City, NY-NJ-PA"
13780,New York,36,"Binghamton, NY"
21300,New York,36,"Elmira, NY"
15380,New York,36,"Buffalo-Cheektowaga-Niagara Falls, NY"
46540,New York,36,"Utica-Rome, NY"
48060,New York,36,"Watertown-Fort Drum, NY"
40380,New York,36,"Rochester, NY"
45060,New York,36,"Syracuse, NY"
27060,New York,36,"Ithaca, NY"
28740,New York,36,"Kingston, NY"
24020,New York,36,"Glens Falls, NY"
15500,North Carolina,37,"Burlington, NC"
25860,North Carolina,37,"Hickory-Lenoir-Morganton, NC"
34820,North Carolina,37,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
11700,North Carolina,37,"Asheville, NC"
